trial_id,block,type,situation,option_low,option_high,advice_low,advice_high
1,AI_high,emotion,"你在一个熟悉的群体中参与度逐渐降低，
与他人的互动也有所减少。
群体关系仍在，但你开始感到有些不适。",尽量减少参与互动,主动增加参与互动,"建议你尽量减少与该群体互动，
以避免加重当前的不适感受","建议你主动增加与该群体互动，
以逐步恢复与群体的联系感"
2,AI_high,emotion,"你在表达自己的想法后，
发现对方的理解与你原本的意思存在偏差。
虽然尝试解释，但似乎没有明显改善，
这让你感到有些无力。",暂停解释不再沟通,继续沟通澄清想法,"建议你暂停进一步解释，
以避免在沟通中反复消耗精力","建议你继续尝试沟通，
以提高对方理解你真实想法的可能性"
3,AI_high,emotion,"你在他人面前表现时，会不自觉地关注别人对你的看法。
即使没有明显评价，
你也容易反复思考自己的表现是否被认可。",减少在意他人评价,主动关注他人评价,"建议你减少在意他人评价，
尽量忽视外界反馈，更多专注于自身","建议你适当关注他人评价，
通过他人的认可度来调整自身的行为与表现"
4,AI_high,emotion,"最近你和你的家人发生了一些争吵，
他们和你在一些观念上有很大分歧。
你和他们大吵了一架，现在处于冷战阶段。",暂时保持距离不沟通,主动沟通缓和关系,"建议你暂时保持距离，
给彼此消化情绪的空间，以避免冲突进一步升级","建议你尝试主动沟通，发现分歧的根本点，
以促进关系的缓和"
5,AI_high,tool,"你在准备一门课程考试时，
发现复习内容较多且时间有限。
你已经尝试了一些复习顺序，但效果并不稳定，
目前不清楚应该如何调整接下来的复习策略。",分散安排复习内容,集中强化重点内容,"建议你分散安排复习内容和时间，每天复习一会，
以减轻连续高强度学习带来的负担","建议你集中强化重点内容，着重复习重难点，
以提高复习效率和效果"
6,AI_high,tool,"你在学习过程中非常容易被外界干扰，
难以长时间保持专注。
你感到非常困扰，不知道该如何提高自己的注意力。",通过改善环境减少干扰,进行自我调节保持专注,"建议你优化学习环境，例如在图书馆学习，
以减少外界干扰对你的影响","建议你进行自我调节，
逐步提高对注意力的主动控制能力"
7,AI_high,tool,"在一次小组任务中，你被分配到不合理的工作，
它目前超出了你的能力范围。
你感到非常困难，不知道该从哪里开始干。",从简单部分开始做,先整体规划再开始,"建议你先从简单的会做的部分开始，
以降低启动难度并逐步进入状态","建议你先进行整体规划，理清各个步骤和难点，
以提高任务完成效率"
8,AI_high,tool,"你开始制定运动计划，
但在实际执行中经常因为疲劳或时间不足而中断。
你尝试调整运动频率，但仍没有形成稳定的锻炼习惯。",低频进行简单运动,开展规律训练计划,"建议你低频率地进行一些简单运动，
例如慢跑，降低身体的超负荷和疲劳","建议你开展规律地训练计划，
例如每周健身三次，逐渐形成长期运动的习惯"
9,AI_low,emotion,你在与他人交流时感觉自己的表达没有被认真对待，对方总是敷衍地回应你。你逐渐在意这种情况，也开始怀疑自己的表达是否存在问题。,减少与该人的交流,调整表达的方式,建议你减少与他人交流，以避免持续得不到真诚回应的自我耗竭,建议你改善表达方式，多站在他人角度思考，以提高被理解和回应的可能性
10,AI_low,emotion,你在情绪低落时通常不会主动表达，而是选择自己消化。但这种方式有时让你感到更加压抑，却又不太习惯向他人倾诉。,自行调节情绪,向他人表达情绪,建议你自行调节情绪，例如安静独处、自我思考，以逐步平复当前的情绪状态,建议你尝试向朋友、家人表达自己的情绪，以获得支持并缓解内在压力
